step_order,category,topic,story_name,title,description,lat,lng,image_url,more_info_url,audio_url,youtube_url
1,Historia,Kirkkohistoria,"Kirkkoherran tarina","Laukaan vanha kirkonkylä (Demo)","Tarinamme alkaa Laukaan kirkonkylältä. Täällä sijaitsi aikoinaan kylän keskus ja ensimmäinen kivikirkko jo 1400-luvulla. Kirkko on toiminut seurakunnan sydämenä vuosisatojen ajan.",62.4131,25.9464,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?auto=format&fit=crop&w=800&q=80,https://fi.wikipedia.org/wiki/Laukaan_kirkko,,
2,Historia,Kirkkohistoria,"Kirkkoherran tarina","Vihtavuoren kehitys (Demo)","Ruutitehdas aloitti toimintansa Vihtavuoressa 1920-luvulla. Se loi kokonaisen uuden asuinalueen ja yhteisön metsien keskelle Keski-Suomeen.",62.3782,25.9123,https://images.unsplash.com/photo-1473448912268-2022ce9509d8?auto=format&fit=crop&w=800&q=80,,,
3,Historia,Kirkkohistoria,"Nykyajan Laukaa","Nykyinen Laukaa (Demo)","Tarinan päätteeksi palaamme nykypäivään. Laukaa on kasvanut elinvoimaiseksi 20 000 asukkaan kunnaksi joka yhdistää modernin elämän ja rikkaan historian.",62.4167,25.9500,https://images.unsplash.com/photo-1449824913935-59a10b8d2000?auto=format&fit=crop&w=800&q=80,https://www.laukaa.fi,,
4,Matkailu,Lievestuore,"Pysähdy matkalla","Lievestuoreen taukopaikat","Lievestuore tarjoaa mainioita taukopaikkoja valtatie 9 varrella. Voit nauttia kahvit tai tehdä nopeita tuliaisostoksia paikallisissa yrityksissä. Täältä löydät kaiken tarvittavan matkasi jatkumiseen.",62.252767,26.211286,https://mediazoo.fi/wp-content/uploads/2026/01/kuva-65.jpg,https://jyväspakari.fi/lounasmenu/,,https://youtu.be/NtxoCJwY2Ac
5,Matkailu,Lievestuore,Päiväretki,"Hyyppäävuoren valloitus","Hyyppäävuori on yksi Keski-Suomen hienoimmista näköalapaikoista. Retki huipulle palkitsee upeilla maisemilla Lievestuoreenjärvelle. Muista ottaa eväät mukaan, ja paikalla ei ole nuotiopaikkaa!",62.293634,26.136815,https://mediazoo.fi/wp-content/uploads/2026/03/1070319-Edit-Edit.jpg,https://retkipaikka.fi/hyyppaanvuori-mahtava-maisema-rouhea-lohkareikko-ja-keski-suomen-parhaat-mustikat/,,https://youtu.be/9nHCsxI2BE8
6,Matkailu,Lievestuore,Historia,"Sellutehtaan perintö","Haarlan sellutehdas on jättänyt pysyvän jäljen Lievestuoreen maisemaan ja historiaan. Tutustu teollisuushistoriaan ja sen vaikutuksiin kylän kehitykseen.",62.264729,26.199138,https://upload.wikimedia.org/wikipedia/commons/a/a0/Lievestuore_pulp_mill_from_air_1937.png,https://fi.wikipedia.org/wiki/Lievestuoreen_sellutehdas,,
7,Matkailu,Lievestuore,Luonto,"Lievestuoreenjärven rannat","Nauti puhtaasta luonnosta ja upeista järvimaisemista. Alueen rannat tarjoavat rauhallisia paikkoja rentoutumiseen ja luonnon tarkkailuun.",62.268082,26.204282,https://mediazoo.fi/wp-content/uploads/2026/01/kuva-65.jpg,tarinakartta.html?reitti=https%3A%2F%2Fwww.mediazoo.fi%2Flaukaainfo-web%2Fimagekit-api.php%3Faction%3Dget_geojson%26path%3Dreitix%2Froute.geojson#kavelyreitit-section,,
8,Matkailu,"Laukaa kk",Palvelut,"Hyvinvointikeskus Resort (Demo)","Hyvinvointikeskus on Laukaan tunnetuin matkailukohde. Kylpylä ja urheilukeskus ovat palvelleet kuntoutujia ja vapaa-ajan matkailijoita jo vuosikymmeniä.",62.3420,25.9150,https://images.unsplash.com/photo-1544161515-4ab6ce6db874?auto=format&fit=crop&w=800&q=80,https://hyvinvointikeskus.fi,,
9,Yritystarinat,Maatalous,"Maitotilan tarina","Laukaan maidontuotanto (Demo)","Laukaa on perinteistä maatalousmaata. Alueen maidontuottajat ovat ylläpitäneet elintarvikeomavaraisuutta ja pitäneet maaseudun elävänä sukupolvesta toiseen.",62.4300,25.9600,https://images.unsplash.com/photo-1500595046743-cd271d694d30?auto=format&fit=crop&w=800&q=80,,,
10,Politiikka,Kunnallispolitiikka,"Laukaan itsenäistyminen","Laukaan kunta itsenäistyy (Demo)","Laukaa erosi Jyväskylän ympäristökunnasta 1800-luvulla ja muodosti oman kuntansa. Tämä historiallinen päätös muovasi koko alueen kehityssuunnan.",62.4100,25.9480,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=800&q=80,,,
11,Politiikka,Kunnallispolitiikka,"Kuntaliitoksen torjuminen","Laukaa säilyy itsenäisenä (Demo)","2000-luvun alussa Jyväskylän seudulla käytiin tiukat neuvottelut kuntaliitoksesta. Laukaan valtuusto äänesti itsenäisyyden puolesta.",62.4080,25.9460,https://images.unsplash.com/photo-1529107386315-e1a2ed48a620?auto=format&fit=crop&w=800&q=80,,,
12,Matkailu,Lievestuore,"Huvia koko perheelle","Huvipuiston kierros","Nokkakiven huvipuisto\n\nKesän hauskimman päivän koet tietysti Nokkakivessä, jossa menoa ja nähtävää riittää koko perheelle! Hurjimmat uskaltavat vuoristorataan ja etsivät jännitystä hupitalo Ketkulasta. Rauhallisempaa menoa löytyy tunnelmallisesta Maailmanpyörästä, ja onneaan pääsee kokeilemaan perinteisessä narupelissä!",62.245228,26.140765,https://mediazoo.fi/wp-content/uploads/2026/04/pexels-miami302-18403913.jpg,https://www.nokkakivi.fi/,,
