rowid,name,address,lat,lon,website,phone,category,description,youtubeurl,images,logo,facebook,instagram,linkedin,tiktok,whatsapp,mainoslinkit,karusellipaino,tyyppi,voimassaolo_loppuu,rss,tags,alue_slug,kunta_slug,email,kuvat,videot,whatsapp_1,palvelutapa,service_mode,service_radius,service_note,lisatieto,yhteydenottohistoria
305,Sähköpalvelu Valoisat Oy,"Jakotie 8 A, 41310 Leppävesi, Laukaa, Suomi","62,3180731","25,8462068",https://www.valoisat.fi,358505510234,Sähköpalvelut,"Sähköpalvelu Valoisat Oy tarjoaa sähköasennukset, huollot ja korjaukset kotitalouksille, taloyhtiöille ja yrityksille. Yritys asentaa myös ilmalämpöpumput, ilma-vesilämpöpumput sekä aurinkopaneelit. Palvelu perustuu ammattitaitoon, luotettavuuteen ja asiakaslähtöiseen toteutukseen.",,[],,,,,,358505510234,"[""https://www.valoisat.fi""]",,,,,"sähkötyöt, sähköasennus, sähköhuolto, ilmalämpöpumppu, aurinkopaneelit, sähköliike, Laukaa, Leppävesi, Keski-Suomi, sähköurakointi",Leppävesi,Laukaa,[miika@valoisat.fi](mailto:miika@valoisat.fi),[],[],358505510234,"toimipiste, etapalvelu",SERVICE_AREA,100,Palvelee Laukaan lisäksi laajasti Keski-Suomen alueella.,Yritys perustettu vuonna 2021. S2- ja kylmäaineluvat mahdollistavat lämpöpumppujen ja aurinkosähköjärjestelmien asennukset.,
304,Sähkötyöt Rissanen Oy,"Välilänraitti 5, 41400 Lievestuore, Laukaa, Suomi","62,2486505","26,215428",https://www.sahkotarvikkeet.com,358409645545,Sähkötarvikkeet ja sähköpalvelut,"Sähkötyöt Rissanen Oy on Lievestuoreella toimiva yritys, joka tarjoaa laajan valikoiman sähkötarvikkeita verkkokaupasta sekä sähköasennuspalveluita Keski-Suomen alueella. Valikoimaan kuuluu mm. valaisimet, termostaatit, kaapelit, pistorasiat ja muut sähköalan tuotteet.",,[],,,,,,358409645545,"[""https://www.sahkotarvikkeet.com""]",,,,,"sähkötarvikkeet, sähköasennus, valaisimet, termostaatit, sähköliike, verkkokauppa, Lievestuore, Laukaa, Keski-Suomi, sähkötyöt",Lievestuore,Laukaa,[sami.rissanen@strissanen.fi](mailto:sami.rissanen@strissanen.fi),[],[],358409645545,"toimipiste, verkkokauppa, etapalvelu",SERVICE_AREA,100,"Verkkokauppa toimittaa koko Suomeen, asennuspalvelut Keski-Suomen alueella.","Perheyritys, joka tarjoaa sekä tuotteet että asennuspalvelut saman katon alta.",
303,Puusepänliike Tourunen Oy,"Yläpohjantie 110, 41180 Vehniä, Laukaa, Suomi","62,4512425","25,6645704",https://www.psltourunen.fi,358400531170,Kalusteet ja puusepäntyöt,"Puusepänliike Tourunen Oy on yli 40 vuotta alalla toiminut yritys, joka suunnittelee, valmistaa ja asentaa kiintokalusteita sekä mittatilauskalusteita koteihin ja kohteisiin ympäri Suomen. Palveluihin kuuluvat mm. keittiökalusteet, kylpyhuonekalusteet, liukuovet, komerot sekä erikoismitoitetut kalusteratkaisut. ([psltourunen.fi][1])",,[],,,,,,358400531170,"[""https://www.psltourunen.fi""]",,,,,"puuseppä, kalusteet, mittatilauskalusteet, keittiökalusteet, liukuovet, komerot, kylpyhuonekalusteet, kiintokalusteet, asennuspalvelu, Laukaa, Vehniä",Vehniä,Laukaa,[tapani.tourunen@psltourunen.fi](mailto:tapani.tourunen@psltourunen.fi),[],[],358400531170,"toimipiste, etapalvelu",SERVICE_AREA,200,"Palvelee asiakkaita koko Suomessa, suunnittelu, valmistus ja asennus.",Perustettu vuonna 1981. Pitkä kokemus kiintokalusteista ja yksilöllisistä ratkaisuista koteihin.,
302,Laukaan Rakennustyö,"Laukaa, Keski-Suomi, Suomi",,,https://www.laukaarakennustyo.fi,,Rakennuspalvelut,"Laukaan Rakennustyö tarjoaa monipuolisia rakennus- ja remontointipalveluita Laukaan ja Keski-Suomen alueella. Palveluihin kuuluvat mm. uudisrakentaminen, saneeraukset, huoneistoremontit, terassit, ulkorakennukset sekä muut kirvesmiestyöt.",,[],,,,,,,"[""https://www.laukaarakennustyo.fi""]",,,,,"rakennus, remontointi, saneeraus, uudisrakentaminen, kirvesmies, rakennuspalvelut, talonrakennus, huoneistoremontti, terassirakentaminen, ulkorakennukset, Keski-Suomi, Laukaa",Laukaa,Laukaa,,[],[],,"toimipiste, etapalvelu",SERVICE_AREA,50,Palvelualue kattaa Laukaan lisäksi lähialueet Keski-Suomessa sopimuksen mukaan.,"Paikallinen rakennusalan yritys, joka palvelee yksityis- ja yritysasiakkaita joustavasti.",
272,Rengaskanava Oy,"Rokkamäentie 1, laukaa","62,4229172","25,9161713",,,Auto ja kuljetus,,,,,,,,,,,,ilmainen,,,rengasliike,Laukaa kk,Laukaa,,,,,,,,,,
37,Arskan Autopalvelu,"Sepänpolku 2, 41310 Leppävesi","62,308658","25,828992",https://www.arskanautopalvelu.fi,,Auto ja kuljetus,,,,,,,,,,,,ilmainen,,,autokorjaamot,Leppävesi,Laukaa,,,,,,,,,,
38,Asennuspalvelu J.Karvinen Oy,"Rokkakankaantie 10, Laukaa","62,420774","25,914737",,,Auto ja kuljetus,,,,,,,,,,,,ilmainen,,,autokorjaamot,Laukaa kk,Laukaa,,,,,,,,,,
39,Autokorjaamo Heikki Valkonen (AD Autokorjaamo),"Rokkakankaantie , Laukaa","62,420022","25,915509",,,Auto ja kuljetus,,,,,,,,,,,,ilmainen,,,autokorjaamot,Laukaa kk,Laukaa,,,,,,,,,,
40,Autokorjaamo J Ala-Könni Oy,"mestarintie 10, 41310 Leppävesi","62,310322","25,837418",,,Auto ja kuljetus,,,,,,,,,,,,ilmainen,,,autokorjaamot,Leppävesi,Laukaa,,,,,,,,,,
41,Autokorjaamo Kari-Huolto Leppävesi,"Sepänpolku, Leppävesi","62,308393","25,828803",https://www.karihuolto.fi,,Auto ja kuljetus,,,,,,,,,,,,ilmainen,,,autokorjaamot,Leppävesi,Laukaa,,,,,,,,,,
