step_order,category,topic,story_name,title,description,lat,lng,image_url,more_info_url,audio_url
1,Historia,Kirkkohistoria,Kirkkoherran tarina,Laukaan vanha kirkonkylä,Tarinamme alkaa Laukaan kirkonkylältä. Täällä sijaitsi aikoinaan kylän keskus ja ensimmäinen kivikirkko jo 1400-luvulla. Kirkko on toiminut seurakunnan sydämenä vuosisatojen ajan.,62.4131,25.9464,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?auto=format&fit=crop&w=800&q=80,https://fi.wikipedia.org/wiki/Laukaan_kirkko,https://upload.wikimedia.org/wikipedia/commons/1/1b/Old_Church_Bells.mp3
2,Historia,Kirkkohistoria,Kirkkoherran tarina,Lievestuoreen Sellutehdas,Teollisuus muutti aluetta merkittävästi. Lievestuoreen kuuluisa sellutehdas ja ns. lipeälampi toivat työtä ja elämää 1900-luvun alussa. Tehdas työllisti parhaimmillaan satoja laukaalaisia.,62.2612,26.2163,https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?auto=format&fit=crop&w=800&q=80,https://fi.wikipedia.org/wiki/Lievestuoreen_sellutehdas,
3,Historia,Kirkkohistoria,Kirkkoherran tarina,Vihtavuoren kehitys,Ruutitehdas aloitti toimintansa Vihtavuoressa 1920-luvulla. Se loi kokonaisen uuden asuinalueen ja yhteisön metsien keskelle Keski-Suomeen.,62.3782,25.9123,https://images.unsplash.com/photo-1473448912268-2022ce9509d8?auto=format&fit=crop&w=800&q=80,,
4,Historia,Kirkkohistoria,Nykyajan Laukaa,Nykyinen Laukaa,Tarinan päätteeksi palaamme nykypäivään. Laukaa on kasvanut elinvoimaiseksi 20 000 asukkaan kunnaksi joka yhdistää modernin elämän ja rikkaan historian.,62.4167,25.9500,https://images.unsplash.com/photo-1449824913935-59a10b8d2000?auto=format&fit=crop&w=800&q=80,https://www.laukaa.fi,
5,Matkailu,Lievestuore,Pysähdy matkalla,Lievestuoren taukopaikat,Lievestuore tarjoaa mainioita taukopaikkoja valtatie 9 varrella. Voit nauttia kahvit tai tehdä nopeita tuliaisostoksia paikallisissa yrityksissä. Täältä löydät kaiken tarvittavan matkasi jatkumiseen.,62.2612,26.2163,https://images.unsplash.com/photo-1505118380757-91f5f5632de0?auto=format&fit=crop&w=800&q=80,,
6,Matkailu,Lievestuore,Päiväretki,Hyyppäävuoren valloitus,Hyyppäävuori on yksi Keski-Suomen hienoimmista näköalapaikoista. Retki huipulle palkitsee upeilla maisemilla Lievestuoreenjärvelle. Muista ottaa eväät mukaan!,62.2263,26.2625,https://images.unsplash.com/photo-1473448912268-2022ce9509d8?auto=format&fit=crop&w=800&q=80,,
7,Matkailu,Lievestuore,Historia,Sellutehtaan perintö,Haarlan sellutehdas on jättänyt pysyvän jäljen Lievestuoreen maisemaan ja historiaan. Tutustu teollisuushistoriaan ja sen vaikutuksiin kylän kehitykseen.,62.2612,26.2163,https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?auto=format&fit=crop&w=800&q=80,https://fi.wikipedia.org/wiki/Lievestuoreen_sellutehdas,
8,Matkailu,Lievestuore,Luonto,Lievestuoreenjärven rannat,Nauti puhtaasta luonnosta ja upeista järvimaisemista. Alueen rannat tarjoavat rauhallisia paikkoja rentoutumiseen ja luonnon tarkkailuun.,62.2450,26.2300,https://images.unsplash.com/photo-1505118380757-91f5f5632de0?auto=format&fit=crop&w=800&q=80,,
9,Matkailu,Laukaa kk,Palvelut,Hyvinvointikeskus Resort,Hyvinvointikeskus on Laukaan tunnetuin matkailukohde. Kylpylä ja urheilukeskus ovat palvelleet kuntoutujia ja vapaa-ajan matkailijoita jo vuosikymmeniä.,62.3420,25.9150,https://images.unsplash.com/photo-1544161515-4ab6ce6db874?auto=format&fit=crop&w=800&q=80,https://hyvinvointikeskus.fi,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3
10,Yritystarinat,Maatalous,Maitotilan tarina,Laukaan maidontuotanto,Laukaa on perinteistä maatalousmaata. Alueen maidontuottajat ovat ylläpitäneet elintarvikeomavaraisuutta ja pitäneet maaseudun elävänä sukupolvesta toiseen.,62.4300,25.9600,https://images.unsplash.com/photo-1500595046743-cd271d694d30?auto=format&fit=crop&w=800&q=80,,
11,Politiikka,Kunnallispolitiikka,Laukaan itsenäistyminen,Laukaan kunta itsenäistyy,Laukaa erosi Jyväskylän ympäristökunnasta 1800-luvulla ja muodosti oman kuntansa. Tämä historiallinen päätös muovasi koko alueen kehityssuunnan.,62.4100,25.9480,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=800&q=80,,
12,Politiikka,Kunnallispolitiikka,Kuntaliitoksen torjuminen,Laukaa säilyy itsenäisenä,2000-luvun alussa Jyväskylän seudulla käytiin tiukat neuvottelut kuntaliitoksesta. Laukaan valtuusto äänesti itsenäisyyden puolesta.,62.4080,25.9460,https://images.unsplash.com/photo-1529107386315-e1a2ed48a620?auto=format&fit=crop&w=800&q=80,,
